"Date","EUR_mean","EUR_median","EUR_std","EUR_range","EUR_pct_change","GBP_mean","GBP_median","GBP_std","GBP_range","GBP_pct_change","USD_mean","USD_median","USD_std","USD_range","USD_pct_change","SDR_mean","SDR_median","SDR_std","SDR_range","SDR_pct_change","YEN_mean","YEN_median","YEN_std","YEN_range","YEN_pct_change","ZAR_mean","ZAR_median","ZAR_std","ZAR_range","ZAR_pct_change"
2014-04-01,0.0826606666666666,0.08269,0.0002248229120746,0.0005799999999999,-0.00118141670574,0.068163,0.06817,0.0001942331379437,0.00052,-0.0029064461517446,0.114174333333333,0.11418,0.0002807055802905,0.0007199999999999,9.22E-06,0.0737306666666666,0.07374,0.0001766729779658,0.0004599999999999,-0.0013366474782062,11.7015666666667,11.698,0.0327717289953775,0.0900000000000002,-0.0042441469954649,1.203845,1.20377,0.0022956940064606,0.0062199999999999,0.0011580964771444
2014-05-01,0.08375125,0.083675,0.0003878917009098,0.001,0.0042522285893092,0.06822375,0.0682,0.0002201055036522,0.0005999999999999,0.0014803249588619,0.11492125,0.1149125,0.0003417120103069,0.0009499999999999,-0.0008593265578161,0.07432625,0.0742874999999999,0.0002595755470136,0.000675,0.0010408035749174,11.696125,11.70125,0.0510426363584529,0.1375,-0.0021034652842311,1.1958225,1.1964125,0.0034434180139244,0.0090750000000001,-0.0009430575054496
2014-06-01,0.0831399999999999,0.0831,0.0001694973854833,0.0004749999999999,0.0006070930026184,0.06686,0.0668499999999999,0.0002215550721518,0.0005999999999999,-0.0025785266045346,0.113075,0.1131,0.0003499750124142,0.0009749999999999,0.0022221916390584,0.073355,0.073325,0.0001846218544323,0.0005249999999999,0.0010324781982969,11.5395,11.5325,0.0364999939396262,0.0999999999999996,-0.0004085319377895,1.20848,1.2088,0.0024911261551391,0.0069999999999999,-0.0006552960335805
2014-07-01,0.083599,0.08361,0.0001593161209557,0.0003999999999999,0.0019291655880703,0.066297,0.0663,0.0001318515240769,0.00036,0.0008909347481505,0.113124,0.11309,0.0001977168533053,0.00052,-0.0010613082683126,0.073426,0.07343,0.0001094601867727,0.00028,0.0002695287962059,11.5186,11.52,0.0192490464035696,0.05,0.000514192867945,1.207175,1.2072,0.0014552022375816,0.00386,-0.0002835879543145
2014-08-01,0.08465,0.0846,0.0001634128598412,0.0004499999999999,0.0035423035543554,0.067475,0.0675,0.0001935742164845,0.000525,0.0033526697038075,0.11261,0.112575,0.0002613084627837,0.0006999999999999,-0.0006603739749089,0.073825,0.073825,0.0001345131844026,0.0003499999999999,0.0020325240621133,11.5995,11.605,0.0339569829505722,0.1,0.0032359739749571,1.201575,1.201625,0.0017933598591932,0.004725,-0.0013934042851747
2014-09-01,0.0853613333333333,0.0853,0.0002621832541322,0.00068,-0.0002088194153942,0.067432,0.06744,0.0003322515168397,0.0008999999999999,-0.0007887828879069,0.109681333333333,0.10974,0.000370798572991,0.0009999999999999,-0.007463063893635,0.073292,0.0733,0.0001616718587676,0.00046,-0.0035316637261966,11.8037333333333,11.81,0.0225142088166511,0.0619999999999997,0.0011862844669868,1.208516,1.2082,0.0021177564820046,0.00598,0.002755994036306
2014-10-01,0.0861,0.0861,0.0003118771258809,0.0007999999999999,0.0037923933529962,0.06798,0.068,0.000224452062864,0.0005499999999999,0.0011242319944463,0.10927875,0.109375,0.0003488076082546,0.0009499999999999,-0.0018015018720958,0.07346625,0.0735,0.000192723048596,0.000475,0.0020529410225645,11.79075,11.7825,0.0771502020825476,0.1975,0.0106018354830742,1.205885,1.2057,0.0024512245260899,0.0061749999999999,-0.0012370984007304
2014-11-01,0.08673,0.0867,0.0002439471966803,0.000675,0.0003095553334416,0.06863,0.0686249999999999,0.0002390170839383,0.0006,0.0051479721920771,0.10824,0.1082,0.0004104200701277,0.0011499999999999,0.0007333992335978,0.0738,0.073775,0.0002165033508307,0.0005999999999999,0.0013799553005061,12.602,12.625,0.0535202519456679,0.145,0.0081650098872252,1.201225,1.201675,0.0029668455309953,0.0081999999999999,-0.0013365441781729
2014-12-01,0.085996,0.08598,0.0003405185438606,0.0008,0.0028703163923286,0.0676693333333333,0.06764,0.0002057306044453,0.0005399999999999,-0.0005319527451788,0.105596,0.10562,0.000401538232136,0.0011,-0.0051889265562605,0.0726226666666666,0.07264,0.000216754149388,0.0005799999999999,-0.0013016440723344,12.6186666666667,12.62,0.0547112594495179,0.128,0.001679770878019,1.216644,1.21668,0.0030139542931372,0.0080599999999999,0.0011065418490193
2015-01-01,0.09008,0.089825,0.0007767172920038,0.0019999999999999,0.0153361188262968,0.0689449999999999,0.0689,0.0002882672665389,0.0007249999999999,0.0033069015168777,0.104295,0.104325,0.0003215906913919,0.0008999999999999,0.0004948121784065,0.073435,0.07335,0.0002951285146818,0.000775,0.0051759335295802,12.3235,12.305,0.0584283231636946,0.152500000000001,-0.0066512103263683,1.205845,1.20725,0.0043307687403799,0.0113499999999999,-0.0039673165533759
