Date,FAO_CP_23012,FAO_CP_23013,FAO_CP_23014,REF_AREA,REF_AREA_LABEL
2002-12-01,39.930877,38.282613,11.037445,BWA,Botswana
2002-12-01,27.985602,24.681442,5.657176,KEN,Kenya
2002-12-01,50.882578,43.525146,17.800413,NAM,Namibia
2002-12-01,56.057883,46.818658,18.035244,ZAF,South Africa
2002-12-01,91.662724,94.529344,1.816717,ZWE,Zimbabwe
2003-01-01,40.157471,38.525545,10.723638,BWA,Botswana
2003-01-01,28.483152,25.023064,8.515932,KEN,Kenya
2003-01-01,51.424072,43.859783,17.698224,NAM,Namibia
2003-01-01,56.51257,47.350609,17.388483,ZAF,South Africa
2003-01-01,91.733758,94.669901,1.813971,ZWE,Zimbabwe
2003-02-01,40.509951,38.938687,10.900273,BWA,Botswana
2003-02-01,28.808708,24.842581,9.966139,KEN,Kenya
2003-02-01,51.398259,43.781672,15.105708,NAM,Namibia
2003-02-01,56.450573,46.923727,15.279111,ZAF,South Africa
2003-02-01,91.804791,94.810459,1.811233,ZWE,Zimbabwe
2003-03-01,40.68619,39.248544,10.782214,BWA,Botswana
2003-03-01,29.576531,25.630247,13.606973,KEN,Kenya
2003-03-01,51.704124,43.92184,13.653539,NAM,Namibia
2003-03-01,56.781266,47.107614,13.586692,ZAF,South Africa
2003-03-01,91.875824,94.951016,1.808503,ZWE,Zimbabwe
2003-04-01,41.240086,39.868258,11.533088,BWA,Botswana
2003-04-01,30.094556,26.203161,15.676221,KEN,Kenya
2003-04-01,51.818192,44.083407,12.060701,NAM,Namibia
2003-04-01,56.912163,47.101048,11.47032,ZAF,South Africa
2003-04-01,91.946858,95.091573,1.805782,ZWE,Zimbabwe
2003-05-01,41.491857,40.178115,11.41154,BWA,Botswana
2003-05-01,31.445924,28.018325,20.194437,KEN,Kenya
2003-05-01,51.908162,44.16956,11.253793,NAM,Namibia
2003-05-01,56.912163,47.370307,11.27738,ZAF,South Africa
2003-05-01,92.017891,95.232131,1.803068,ZWE,Zimbabwe
2003-06-01,42.045754,40.487972,11.292112,BWA,Botswana
2003-06-01,31.517587,28.46015,18.570194,KEN,Kenya
2003-06-01,52.162865,44.59711,10.569938,NAM,Namibia
2003-06-01,56.808813,47.245526,8.999999,ZAF,South Africa
2003-06-01,92.088924,95.372688,1.800363,ZWE,Zimbabwe
2003-07-01,42.020576,40.487972,10.330383,BWA,Botswana
2003-07-01,30.573677,27.551948,14.686222,KEN,Kenya
2003-07-01,52.15689,44.459804,9.590319,NAM,Namibia
2003-07-01,56.519473,47.232395,7.503716,ZAF,South Africa
2003-07-01,92.159957,95.513245,1.797666,ZWE,Zimbabwe
2003-08-01,42.196816,40.591257,9.664176,BWA,Botswana
2003-08-01,29.814044,26.836273,11.084256,KEN,Kenya
2003-08-01,52.314952,44.471182,9.152289,NAM,Namibia
2003-08-01,56.643483,47.258673,5.730268,ZAF,South Africa
2003-08-01,92.230991,95.653803,1.794977,ZWE,Zimbabwe
2003-09-01,42.272347,40.591257,8.732615,BWA,Botswana
2003-09-01,29.611339,26.590706,10.570364,KEN,Kenya
2003-09-01,52.442269,44.668847,7.162009,NAM,Namibia
2003-09-01,56.257679,47.192999,3.574533,ZAF,South Africa
2003-09-01,92.302024,95.79436,1.792296,ZWE,Zimbabwe
2003-10-01,42.322702,40.487972,7.542404,BWA,Botswana
2003-10-01,30.010607,26.943461,12.186618,KEN,Kenya
2003-10-01,52.297192,44.265585,3.202066,NAM,Namibia
2003-10-01,55.823653,47.422848,2.338437,ZAF,South Africa
2003-10-01,92.373057,95.934917,1.789623,ZWE,Zimbabwe
2003-11-01,42.448587,40.487972,6.644127,BWA,Botswana
2003-11-01,30.119126,27.089723,12.04281,KEN,Kenya
2003-11-01,52.296143,44.19137,1.457547,NAM,Namibia
2003-11-01,55.189845,47.75778,2.350453,ZAF,South Africa
2003-11-01,92.444091,96.075475,1.786958,ZWE,Zimbabwe
2003-12-01,42.473764,40.591257,6.03053,BWA,Botswana
2003-12-01,30.321831,27.444173,11.193555,KEN,Kenya
2003-12-01,52.193483,43.832531,0.706226,NAM,Namibia
2003-12-01,55.141622,47.573892,1.613104,ZAF,South Africa
2003-12-01,92.515124,96.216032,1.784301,ZWE,Zimbabwe
2004-01-01,42.619445,40.694543,5.630027,BWA,Botswana
2004-01-01,31.087606,28.09369,12.271183,KEN,Kenya
2004-01-01,53.46786,44.18611,0.744022,NAM,Namibia
2004-01-01,55.382739,47.974511,1.317622,ZAF,South Africa
2004-01-01,92.586157,96.35659,1.781652,ZWE,Zimbabwe
2004-02-01,43.059388,40.901114,5.039788,BWA,Botswana
2004-02-01,31.646581,28.131088,13.237379,KEN,Kenya
2004-02-01,53.507926,44.163381,0.871846,NAM,Namibia
2004-02-01,55.554972,48.059882,2.421281,ZAF,South Africa
2004-02-01,92.657191,96.497147,1.779011,ZWE,Zimbabwe
2004-03-01,43.49933,41.314257,5.263158,BWA,Botswana
2004-03-01,32.037659,28.489839,11.1571,KEN,Kenya
2004-03-01,53.771586,44.459246,1.223552,NAM,Namibia
2004-03-01,55.816766,48.112423,2.133007,ZAF,South Africa
2004-03-01,92.728224,96.637704,1.776377,ZWE,Zimbabwe
2004-04-01,43.939273,41.933971,5.181347,BWA,Botswana
2004-04-01,32.375501,28.860347,10.140707,KEN,Kenya
2004-04-01,54.058974,44.64796,1.280647,NAM,Namibia
2004-04-01,55.878763,48.112423,2.147245,ZAF,South Africa
2004-04-01,92.799257,96.778262,1.773752,ZWE,Zimbabwe
2004-05-01,44.544194,42.037256,4.627249,BWA,Botswana
2004-05-01,32.909906,29.755144,6.198866,KEN,Kenya
2004-05-01,54.235839,45.01222,1.907785,NAM,Namibia
2004-05-01,55.88565,48.184662,1.719126,ZAF,South Africa
2004-05-01,92.87029,96.918819,1.771134,ZWE,Zimbabwe
2004-06-01,44.874151,42.347113,4.591837,BWA,Botswana
2004-06-01,33.391074,30.719481,7.938577,KEN,Kenya
2004-06-01,54.145253,44.883795,0.642833,NAM,Namibia
2004-06-01,55.933873,47.928535,1.445659,ZAF,South Africa
2004-06-01,92.941324,97.059376,1.768523,ZWE,Zimbabwe
2004-07-01,44.819158,42.037256,3.826531,BWA,Botswana
2004-07-01,33.184274,30.706806,11.450578,KEN,Kenya
2004-07-01,54.3896,44.757999,0.670708,NAM,Namibia
2004-07-01,56.044109,47.652711,0.889891,ZAF,South Africa
2004-07-01,93.012357,97.199934,1.765921,ZWE,Zimbabwe
2004-08-01,44.984137,42.140542,3.816794,BWA,Botswana
2004-08-01,34.525405,32.586332,21.426444,KEN,Kenya
2004-08-01,54.523456,44.678209,0.465531,NAM,Namibia
2004-08-01,55.933873,47.56076,0.639222,ZAF,South Africa
2004-08-01,93.08339,97.340491,1.763326,ZWE,Zimbabwe
2004-09-01,45.259101,42.243828,4.071247,BWA,Botswana
2004-09-01,35.225659,33.458317,25.82711,KEN,Kenya
2004-09-01,54.428044,44.561501,-0.240317,NAM,Namibia
2004-09-01,55.947662,47.593604,0.848864,ZAF,South Africa
2004-09-01,93.154424,97.481048,1.760739,ZWE,Zimbabwe
2004-10-01,45.534065,42.347113,4.591837,BWA,Botswana
2004-10-01,35.500028,33.650387,24.892594,KEN,Kenya
2004-10-01,54.589115,44.998991,1.656831,NAM,Namibia
2004-10-01,56.106106,47.915404,1.038646,ZAF,South Africa
2004-10-01,93.225457,97.621606,1.758159,ZWE,Zimbabwe
2004-11-01,45.644051,42.450399,4.846939,BWA,Botswana
2004-11-01,35.13352,33.494519,23.6429,KEN,Kenya
2004-11-01,54.413378,44.579992,0.879407,NAM,Namibia
2004-11-01,56.436799,48.335706,1.21012,ZAF,South Africa
2004-11-01,93.29649,97.762163,1.755587,ZWE,Zimbabwe
2004-12-01,45.809029,42.553685,4.834606,BWA,Botswana
2004-12-01,35.250229,33.812022,23.202918,KEN,Kenya
2004-12-01,54.402982,44.551102,1.639353,NAM,Namibia
2004-12-01,56.354126,48.191228,1.297636,ZAF,South Africa
2004-12-01,93.367523,97.902721,1.753022,ZWE,Zimbabwe
2005-01-01,46.029,42.65697,4.822335,BWA,Botswana
2005-01-01,35.710923,33.750519,20.135589,KEN,Kenya
2005-01-01,54.817965,44.646137,1.041113,NAM,Namibia
2005-01-01,56.52636,48.572135,1.245711,ZAF,South Africa
2005-01-01,93.438557,98.043278,1.750465,ZWE,Zimbabwe
2005-02-01,46.193979,42.553685,4.040404,BWA,Botswana
2005-02-01,36.056955,33.432591,18.845709,KEN,Kenya
2005-02-01,54.664319,44.64921,1.100071,NAM,Namibia
2005-02-01,56.553907,48.591833,1.10685,ZAF,South Africa
2005-02-01,93.50959,98.183835,1.747915,ZWE,Zimbabwe
2005-03-01,46.303965,42.553685,3.0,BWA,Botswana
2005-03-01,36.570884,33.941749,19.13633,KEN,Kenya
2005-03-01,54.73421,44.665506,0.46393,NAM,Namibia
2005-03-01,56.898374,48.526174,0.859967,ZAF,South Africa
2005-03-01,93.580623,98.324393,1.745373,ZWE,Zimbabwe
2005-04-01,46.633922,42.966827,2.463054,BWA,Botswana
2005-04-01,37.561887,35.130423,21.725574,KEN,Kenya
2005-04-01,54.990993,45.019555,0.832279,NAM,Namibia
2005-04-01,57.070607,48.552437,0.914554,ZAF,South Africa
2005-04-01,93.651657,98.46495,1.742838,ZWE,Zimbabwe
2005-05-01,47.348828,42.863541,1.965602,BWA,Botswana
2005-05-01,37.772783,35.707796,20.005455,KEN,Kenya
2005-05-01,54.747385,44.178016,-1.853283,NAM,Namibia
2005-05-01,56.932823,48.513028,0.681473,ZAF,South Africa
2005-05-01,93.72269,98.605507,1.74031,ZWE,Zimbabwe
2005-06-01,48.063735,43.689827,3.170732,BWA,Botswana
2005-06-01,37.36942,35.654143,16.063624,KEN,Kenya
2005-06-01,54.912171,44.496186,-0.863584,NAM,Namibia
2005-06-01,56.8157,48.276599,0.726213,ZAF,South Africa
2005-06-01,93.793723,98.746065,1.73779,ZWE,Zimbabwe
2005-07-01,48.503678,44.412826,5.651106,BWA,Botswana
2005-07-01,37.088909,35.57414,15.850993,KEN,Kenya
2005-07-01,55.390617,44.968973,0.471366,NAM,Namibia
2005-07-01,57.235953,48.644388,2.081051,ZAF,South Africa
