Date,BDI_Close_mean,BDI_Close_median,BDI_Close_min,BDI_Close_max,BDI_Close_range,BDI_Close_std,BDI_Close_variance,BDI_Close_first,BDI_Close_last,BDI_Close_pct_change,BDI_Close_count,BDI_High_mean,BDI_High_median,BDI_High_min,BDI_High_max,BDI_High_range,BDI_High_std,BDI_High_variance,BDI_High_first,BDI_High_last,BDI_High_pct_change,BDI_High_count,BDI_Low_mean,BDI_Low_median,BDI_Low_min,BDI_Low_max,BDI_Low_range,BDI_Low_std,BDI_Low_variance,BDI_Low_first,BDI_Low_last,BDI_Low_pct_change,BDI_Low_count,Brent_USD_per_barrel,policy_rate,food_index,general_index,food_price_inflation,FAO_CP_23012_KEN,FAO_CP_23012_NAM,FAO_CP_23012_ZAF,FAO_CP_23012_ZWE,FAO_CP_23013_KEN,FAO_CP_23013_NAM,FAO_CP_23013_ZAF,FAO_CP_23013_ZWE,USD_mean,USD_median,USD_std,USD_range,USD_pct_change,ZAR_mean,ZAR_median,ZAR_std,ZAR_range,ZAR_pct_change,EUR_mean,EUR_median,EUR_std,EUR_range,EUR_pct_change,GBP_mean,GBP_median,GBP_std,GBP_range,GBP_pct_change
2007-05-01,6393.375,6401.625,5971.0,6688.0,212.0,80.28505985299536,7100.3125,6395.0,5983.0,-0.0125709829883854,18,6393.375,6401.625,5971.0,6688.0,212.0,80.28505985299536,7100.3125,6395.0,5983.0,-0.0125709829883854,18,6393.375,6401.625,5971.0,6688.0,212.0,80.28505985299536,7100.3125,6395.0,5983.0,-0.0125709829883854,18,67.21,12.0,54.121676,57.192545,8.713693,45.420297,61.607587,61.84487,95.427489,38.649659,53.238059,55.710851,101.978884,0.163144,0.16322,0.0007620151309036,0.00212,-0.0020755152135961,1.145626,1.14521,0.002150445567627,0.0058999999999999,-0.0002922856599816,0.120759,0.12079,0.0003607308237685,0.0009999999999999,-0.0006574353060256,0.082256,0.08231,0.0003152445644803,0.0008399999999999,-0.0009600101956054
2007-06-01,5761.6,5753.25,5254.0,6278.0,399.5,147.9946382588554,25709.68,6011.0,6278.0,0.0124877978817664,20,5761.6,5753.25,5254.0,6278.0,399.5,147.9946382588554,25709.68,6011.0,6278.0,0.0124877978817664,20,5761.6,5753.25,5254.0,6278.0,399.5,147.9946382588554,25709.68,6011.0,6278.0,0.0124877978817664,20,71.05,12.0,55.670961,57.577495,11.594203,46.055031,61.779994,62.285784,95.498522,39.604616,53.474105,56.058914,102.119441,0.16027375,0.16035,0.0007528760384699,0.001975,-0.0013581224700672,1.1483375,1.1486,0.0025153504821468,0.0069749999999999,-0.0006458739262778,0.1194425,0.119375,0.0004154016030897,0.001125,0.0002371563920396,0.0806525,0.0805625,0.0002989505660379,0.0008,-0.001509612266986
2007-07-01,6623.479999999999,6630.2,6201.0,7007.0,203.2,76.59164237108544,9455.728,6304.0,7007.0,0.0186248460563875,25,6623.479999999999,6630.2,6201.0,7007.0,203.2,76.59164237108544,9455.728,6304.0,7007.0,0.0186248460563875,25,6623.479999999999,6630.2,6201.0,7007.0,203.2,76.59164237108544,9455.728,6304.0,7007.0,0.0186248460563875,25,76.93,12.0,56.600532,58.402388,12.989691,46.390825,62.33123,62.823144,95.569556,40.186112,54.040664,56.669684,102.259999,0.163223,0.16341,0.0008335320400598,0.0022,-0.0026190842032615,1.141584,1.14012,0.0037214249497563,0.0094199999999999,0.0021389502791765,0.118967,0.11906,0.0005965327255956,0.00154,-0.0046669415094389,0.080223,0.08031,0.0003172823009818,0.0008,-0.0012363128686588
2007-08-01,7241.3875,7242.5,6917.0,7702.0,186.5,70.22178048346444,6516.316875,6990.0,7702.0,0.0199510363536729,19,7241.3875,7242.5,6917.0,7702.0,186.5,70.22178048346444,6516.316875,6990.0,7702.0,0.0199510363536729,19,7241.3875,7242.5,6917.0,7702.0,186.5,70.22178048346444,6516.316875,6990.0,7702.0,0.0199510363536729,19,70.76,12.0,57.013674,58.567366,12.653061,46.231118,62.704314,63.222721,95.640589,40.4829,54.703767,57.470908,102.400556,0.159535,0.1596,0.0012007426847017,0.0032999999999999,0.0020258019164078,1.15467,1.154325,0.0048314595384815,0.0134499999999999,-0.001655229475072,0.11725,0.11715,0.0004421514323238,0.001225,0.0025768793594447,0.079545,0.0796,0.0002841440368541,0.000725,-0.0003002896660079
2007-09-01,8574.05,8549.75,7783.0,9474.0,463.5,169.49534812794442,33873.920000000006,7783.0,9474.0,0.0456587028227341,20,8574.05,8549.75,7783.0,9474.0,463.5,169.49534812794442,33873.920000000006,7783.0,9474.0,0.0456587028227341,20,8574.05,8549.75,7783.0,9474.0,463.5,169.49534812794442,33873.920000000006,7783.0,9474.0,0.0456587028227341,20,77.17,12.0,57.11696,58.732345,12.627291,46.716382,63.010738,63.580961,95.711622,40.861978,55.187707,58.521678,102.541114,0.16162,0.1616375,0.000667736276958,0.001925,0.0093230488632902,1.14894125,1.148475,0.00262730851691,0.00755,-0.0036951658849415,0.116145,0.1162375,0.0002999561291497,0.000775,-0.001904609854629,0.08011125,0.0800625,0.0002957405022543,0.0007749999999999,0.0043681398494263
2007-10-01,10437.0,10428.6,9513.0,11033.0,362.8,135.6429925646891,37754.8,9537.0,10548.0,0.0164308613305156,25,10437.0,10428.6,9513.0,11033.0,362.8,135.6429925646891,37754.8,9537.0,10548.0,0.0164308613305156,25,10437.0,10428.6,9513.0,11033.0,362.8,135.6429925646891,37754.8,9537.0,10548.0,0.0164308613305156,25,82.34,12.0,57.633388,59.337266,12.955466,47.091079,63.533796,64.166545,95.782656,41.011553,55.852146,59.480511,102.681671,0.167183,0.16712,0.0008846031247727,0.00242,0.0097488243385022,1.127271,1.12746,0.0036349050524253,0.0098199999999999,-0.0045918049923494,0.117312,0.11736,0.0004901364260838,0.0013199999999999,0.0025767896128018,0.081647,0.08164,0.0004190366667712,0.00108,0.0042104193918243
2007-11-01,10540.5,10547.25,9897.0,11039.0,360.5,127.90444277095418,20006.84,10539.0,10210.0,-0.0045449004868123,20,10540.5,10547.25,9897.0,11039.0,360.5,127.90444277095418,20006.84,10539.0,10210.0,-0.0045449004868123,20,10540.5,10547.25,9897.0,11039.0,360.5,127.90444277095418,20006.84,10539.0,10210.0,-0.0045449004868123,20,92.41,12.0,58.459673,59.502244,15.04065,47.764716,62.668189,64.366342,95.853689,41.550114,56.849359,60.058437,102.822228,0.168425,0.168625,0.0009486740834894,0.002675,0.0008405299131815,1.13174,1.1312,0.0049996479305778,0.0141249999999999,0.0002471877330467,0.11442,0.114275,0.0007893948750253,0.002125,-0.002308003722586,0.0813,0.0812249999999999,0.0005194020833528,0.0014499999999999,0.0029112583193918
2007-12-01,9526.12,9528.4,8702.0,10285.0,218.4,82.33518928110195,12859.952,10270.0,8702.0,-0.0220953825278542,19,9526.12,9528.4,8702.0,10285.0,218.4,82.33518928110195,12859.952,10270.0,8702.0,-0.0220953825278542,19,9526.12,9528.4,8702.0,10285.0,218.4,82.33518928110195,12859.952,10270.0,8702.0,-0.0220953825278542,19,90.93,12.0,58.562959,59.832201,15.478615,49.101751,63.053408,64.821029,95.924722,42.511485,57.114041,60.307998,102.962786,0.165798333333333,0.1658,0.0008698148279935,0.002375,-0.0021346447418939,1.13368333333333,1.1337,0.0027442287170694,0.007325,-0.0005753454616444,0.11374,0.1138,0.00028467867143,0.0007749999999999,-0.0004347760311588,0.082145,0.08225,0.0004237698104891,0.0010749999999999,0.0080126056237818
2008-01-01,6876.049999999999,6920.5,5615.0,8732.0,806.75,313.0480483350217,107757.64,8732.0,6134.0,-0.0700742595354904,20,6876.049999999999,6920.5,5615.0,8732.0,806.75,313.0480483350217,107757.64,8732.0,6134.0,-0.0700742595354904,20,6876.049999999999,6920.5,5615.0,8732.0,806.75,313.0480483350217,107757.64,8732.0,6134.0,-0.0700742595354904,20,92.18,12.0,60.525386,60.38213,18.145161,54.799395,64.043297,65.723517,95.995755,43.96966,58.497851,61.339071,103.103343,0.163617333333333,0.16338,0.001279208333516,0.0034599999999999,-0.0052248534573626,1.14479866666667,1.14544,0.0050462703932517,0.0136,0.003780395305494,0.111086666666667,0.11098,0.0005807492693478,0.0015599999999999,-0.0070456951692847,0.082984,0.08314,0.0007947622238242,0.0022199999999999,-0.0105346172582499
2008-02-01,6911.25,6896.25,6002.0,7613.0,471.5,173.95743500418482,36320.5,6121.0,7613.0,0.0457836379311387,20,6911.25,6896.25,6002.0,7613.0,471.5,173.95743500418482,36320.5,6121.0,7613.0,0.0457836379311387,20,6911.25,6896.25,6002.0,7613.0,471.5,173.95743500418482,36320.5,6121.0,7613.0,0.0457836379311387,20,94.99,12.0,61.248386,61.097036,18.363273,54.642718,64.202912,65.88075,96.066789,44.763908,58.79827,61.483059,103.2439,0.1546,0.154525,0.0012862149858253,0.0037499999999999,-0.0106745417123571,1.185835,1.185475,0.0062875814038894,0.0181999999999999,0.0092768381138623,0.10473,0.10495,0.0008264946917271,0.0022249999999999,-0.0171579391561381,0.07871,0.078625,0.0005819159004381,0.0017,-0.0126157675206
